Title,ISSN,Type,SJR,Year
"11th Working Conference on Mining Software Repositories, MSR 2014 - Proceedings",-,conference and proceedings,"0,475",2017
"11th Workshop on Algorithm Engineering and Experiments and 6th Workshop on Analytic Algorithmics and Combinatorics 2009, ALENEX 2009/ANALCO 2009",-,conference and proceedings,"0,101",2012
"11th Workshop on Analytic Algorithmics and Combinatorics 2014, ANALCO 2014",-,conference and proceedings,"0,125",2017
"11th Workshop on Requirements Engineering, WER 2008 - Proceedings",-,conference and proceedings,"0,114",2011
"11th World Conference on Timber Engineering 2010, WCTE 2010",-,conference and proceedings,"0,129",2015
"11th World Congress on Computational Mechanics, WCCM 2014, 5th European Conference on Computational Mechanics, ECCM 2014 and 6th European Conference on Computational Fluid Dynamics, ECFD 2014",-,conference and proceedings,"0,135",2017
11th-Annual SPE TPO Conference - World's Leading Automotive Olefins Forum,-,conference and proceedings,"0,112",2012
128th Audio Engineering Society Convention 2010,-,conference and proceedings,"0,136",2014
"12AIChE - 2012 AIChE Spring Meeting and 8th Global Congress on Process Safety, Conference Proceedings",-,conference and proceedings,"0,110",2015
"12th ACM/IEEE International Conference on Methods and Models for System Design, MEMOCODE 2014",-,conference and proceedings,"0,169",2017
"12th AIAA Aviation Technology, Integration and Operations (ATIO) Conference and 14th AIAA/ISSMO Multidisciplinary Analysis and Optimization Conference",-,conference and proceedings,"0,152",2015
12th AIAA International Space Planes and Hypersonic Systems and Technologies,-,conference and proceedings,"0,128",2006
"12th AIAA/ISSMO Multidisciplinary Analysis and Optimization Conference, MAO",-,conference and proceedings,"0,258",2011
"12th Abu Dhabi International Petroleum Exhibition and Conference, ADIPEC 2006: Meeting the Increasing Oil and Gas Demand Through Innovation",-,conference and proceedings,"0,131",2009
"12th Americas Conference on Wind Engineering 2013, ACWE 2013: Wind Effects on Structures, Communities, and Energy Generation",-,conference and proceedings,"0,117",2016
"12th Annual Conference on Mechatronics and Machine Vision in Practice, M2VIP 2005",-,conference and proceedings,"0,101",2008
"12th Annual IEEE International Conference on RFID, RFID 2018",-,conference and proceedings,"0,145",2020
"12th Annual IEEE International Systems Conference, SysCon 2018 - Proceedings",-,conference and proceedings,"0,184",2020
"12th Annual Industrial Simulation Conference, ISC 2014",-,conference and proceedings,"0,106",2017
"12th Annual Mediterranean Ad Hoc Networking Workshop, MED-HOC-NET 2013",-,conference and proceedings,"0,152",2016
"12th Asia-Pacific Conference on Combustion, ASPACC 2019",-,conference and proceedings,"0,128",2020
"12th Australian Conference on Knowledge Management and Intelligent Decision Support, ACKMIDS 09 and 20th Australasian Conference on Information Systems, ACIS 2009",-,conference and proceedings,"0,104",2012
"12th Biennial IEEE Conference on Electromagnetic Field Computation, CEFC 2006",-,conference and proceedings,"0,114",2009
